	Atf3	Batf3	Bcl6	Crem	Dmrta1	Dot1l	E2f3	Epas1	Fiz1	Foxa1	Foxo1	Hey1	Hoxa5	Ikzf2	Jun	Junb	Jund	Mycn	Nfkb1	Nfkb2	Nr1d1	Plagl2	Rora	Scrt1	Skil	Stat3	Thap3	Zbtb37	Zfp110	Zfp341	Zfp608	Zfp709	Zfp712	Zfp768	Zhx1	Znf512b
Irak2	-0.49081	0	-0.15545	0	0	0	0	0	0	0.37549	0	0	0	0	0.57019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgb4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.65986	0	0	0	0	0	0	0	0	0	0	0	0	0
Itpkb	0	0	0	0	0	0	0	0	0	-0.5344	0	0	0	0	0	0	0	0	0	0	0	0	-0.5967	0	0	0	0	0	0	0	0	0	0	0	0	0
Jag2	0.63981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jun	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1112	0.99243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif13a	0.25486	0	-0.57982	0	0	0	0	0	0	0.5967	0	0	0	0	0	0	0	0	0	0	0.81033	0	0.96737	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl6	0	0	0	0	0	0	0	0	0	-0.16151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klrk1	0	0	0	0	0	0	0	0	0	-0.98035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44547	0	0	0	0	0	-0.1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamc1	0	0	0	0	0	0	0	0	0	0.87075	0	0	0	0	-0.56549	0	0	0	0	0	0	0	0.53334	0	0	0	0	0	0	0.25692	0	0	0	0	0	0
Laptm4b	0.96737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.80486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Large	0	0	0	0	0	0	0	0	0	0.89662	0	0	0.77315	0	0	-0.60305	0	0	0	0	0.47967	0	0.80531	0.54765	0	0	0	0	0.96965	0	0	0	0	0	0	0
Lats2	-0.29822	0	0.83987	0	0	0	0	0	0	0	0	0	0	0	0.76909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lif	0.64902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08794	0.89367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lonrf3	0.56179	0	0	0	0	0	0	0	0	0.6076	0	0.69115	0	0	0	0.94899	0	0	0	0	0.72639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Loxl3	0	0	-0.479	0	0	0	0	0	0	0.73707	0	0	0	0	0	0	0	0	0	0	0	0	0.57083	0	0	0	0	0	0	0	0	0	0	0	0	0
Lpar1	0.3033	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37206	-0.71655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc20	0	0	0.81209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc49	0	0	-0.3045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrn2	0	0	0.90489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ltb4r1	0	0	0.77664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69137	0	0.91144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ltbr	-0.27953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ly86	0.087473	0.95347	0	0	0	0	0	0	0	-0.39148	0	0	0	0	0	0	0	0	0	0	0.44547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lzts2	0	0	0	0	0	0	0	0	0	0	0	0.015581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Malt1	0	0	0	0	0	0	0	0	0	-0.57096	0	0	0	0	0	0	0	0	0	0	0	-0.12432	-0.97666	0	0	0	0	0	0	-0.51007	0	0	0	0	0	0
Maml1	0	0	0	0	0	0	0	0	0.28007	0	0.16938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map2k3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.63574	0	0	0
Map3k8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1179	0	0	0	0	0	0	0	0	0	0	0	0
Mapk10	0	0.98406	0	0	0	0	0	0	0	0	0	0	0	0	0.64174	-0.70704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mapkapk3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4972	0	0	0	0.59983	0	0	-0.36797	0	0	0	0	0	0	0	0	0	0	0	0	0
Mast4	0	0	0	0	0	0	0	0	0	0.67029	0	0	0	0	0.88532	0.50399	0	0	0	0.76323	-0.099564	0	0.36797	0.61581	0	0	0	0	0	0	0	0	0	0	0	0
Mb21d1	0	0	0	0	0	0	0	0	0	0	0	-0.57608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.21907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcur1	0	0	0.82502	0	0	0	0	0	0	0	0	0	0	0	0.94246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Megf9	0	0	0	0	0	0	0	0	0	0.84434	0	0	0	0	0.99084	0	0	0	0	0	0	0	0.84709	0	0	0	0	0	0	0	0	0	0	0	0	0
Metap1d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42121
Mettl15	0	0	0	0	0	0	0	0	-0.44434	0	0	0	0	0	0	-0.33782	0	0	0	0	0	0	0	0	0	0	0	0	0.67703	0	0	0	0	0	0	0
Mettl23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14327
Mgat4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86396	-0.77364	0	0	0	0	0	0	0.66918	0	0	0	0	0	0	0	0	0	0	0	0	0
Mgat5	0	0	0	0	0	0	0	0	0	0.69194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mina	0	0	0.7649	0	0	0	0	0	0	-0.35189	0	0	0	0	0	-0.70154	0	0	0	0	0	0	0.31597	0	0	0	0	0	0	0	0	0	0	0	0	0
Mppe1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75182	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpzl3	0	0.24903	0.62485	0	0	0	0	0	0	0	0	0	0	0	0.39746	0.69882	0	0	0	0	0	0	0.27652	0	0	0	0	0	0	0	0	0	-0.062434	0	0	0
Mrpl30	0	0	0	0	-0.2039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.50457	0	0	0	0	0	0	0	0	0	0	0	0
Mtif2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.70525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycn	0	0	-0.93183	0	0	0	0.43705	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myd88	0	0	0	0	0	0	0	0	0	-0.66999	0	0.88403	0	0	0	-0.4448	0	0	0	0	0	0	-0.98724	0	0	0	0	0	0	0	0	0	0	0	0	0
N6amt1	0	0	0.79844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.26745	0	0	0	0	0	0	0	0	0	0	0	0	0
Naip5	0	0	0	0	0	0	0	0	0	-0.89907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nav2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.67826	0	0	0	0	0	0	0	0	0	0	0	0	0
Nbea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.22675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncr1	0	0	0	0	0	0	0	0.90835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neil2	0	0	0.89235	0	0	0	0	0	0	0	0	0	0	0	0.37292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neurl3	0	0	0.62925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfkb1	0	0	0	0	0	0	0	0	0	0.95737	0	0	0	0	0	0	0	0	0	0	0	0	0.043503	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfkb2	0	0	0	0.38718	0	0.80023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34006	0	0	0	0	0	0	0	0	0	0
Nif3l1	0	0	0.85788	0	0	0	0	0	0	-0.7961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.84883	0	0	0	0	0	0	0	0	0	0	0	0
Nlrp3	0	0	0	0	0	0.72167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nme1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.1112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nmnat2	0	0	0	0	0	0	0	0.15251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nmnat3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nos2	0	0	0	0	0	0	0	0	0	-0.88841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48923	0	0	0	0	0	0	0
Nr1d1	0.90076	0	0	0	0	0	0	0	0	0	0	0.93027	0	0	0.91536	0	0	0	0	0	0	0	0.93691	0	0	0	0	0	-0.9015	0	0	0	0	0	0	0
Nrgn	0	0	-0.25146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87817	0	0	0	0	-0.37061	0	0	0	0	0	0	0	0	0	0
Nrip1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46778	0	0	0	0	0	0	0	0.99617	0	0	0	0	0	0	0	0	0	0	0	0	0
Nt5c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77407	0	0	0	0	0	0	0
Oasl2	0	0	0	0	0.27315	0	0	0	0	0	0	0.35904	0	0.63066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Odf2l	0	0	-0.53101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82613	0	0.91144	0	0	0	0	0	0	0	0	0	0	0	0	0
Ogdhl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Optn	0	0	0.81828	0	0	0	0	0	0	0	0	0.85888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82859	0	0	0	0	0	0	0
P2ry1	0	0	0	0	0	0	0	0	0	0	0	0.97945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98035	0	0	0	0	0
Pcbd2	0	0	0	0	0	0	0	0	-0.65377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pclo	0.80118	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdcd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65936	0.25312	0	0	0	0	0	0	0	-0.49963	0	0	0	0	0	0	0
Pde1c	0	0	0	0	0	0	0	0	0	0.92431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde4a	0	0	0.83648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.089436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde4b	0	0	0.6462	0	0	0	0	0	0	0	0	0	0	0	0.57186	0	0	0	0	0	0	0	0	0.89533	0	0	0	0	0	0	0	0	0	0	0	0
Pde4dip	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95347	0	0	-0.3515	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde7b	0	0	0	0	0	0	0	0	0	0.53535	0	0	0	0	0.27124	0	0	0	0	0	0.25347	0	0.93967	-0.38481	0	0	0	0	0.8088	0	0	0	0	0	0	0
Phpt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.12432	0	0	0	0	0	0
Pigl	0	0	-0.2637	0	0	0	0	0	0	0.76941	0	0	0	0	0	0	0	0	0	0	0.92777	0	0.92205	0	0	0	0	0	0	0	0	0	0	0	0	0
Pik3r1	0	0	0	0	0	0	0	0	0	0.79651	0	0	0	0	0	0	0	0	0	-0.13833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plagl2	0	0	0	0	0	0	0	0	0.051994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56452	0	0	0	0.83309	0	0	0	0	0	0
Plekhf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95977	-0.29022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhg5	0	0.86261	0	0	0	0	0	0	0	0.6048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhm3	0	0	0	0	0	0	0	0	0	0.29878	0	0	0	0	0.56418	-0.20561	0	0	0	0	0	0	0.77504	0	0	0	0	0	0	0	0	0	0	0	0	0
Plk4	0	0	0	0	0	0	0	0	0	0	0	0	0.70396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plxdc2	0.17672	0	-0.86315	0	0	0	0	0	0	0.16874	0	0	-0.82038	0	0	0	0	0	0	0	0.98249	0	0.91758	0	0	0	0	0	0	0	0	0	0	0	0	0
Pmepa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72396	0	0	0	0	0	0	0	0	0	0
Podnl1	0	0	0	0	0	0	0	0	0	0	0	0	0.1577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poldip3	0	0	0	0	0	0	0	0	0.73637	0	0	0	0	0	0	0	0	0	0	0	0	0.37021	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppm1k	0	0	0.050452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60305	0	0.76848	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r16b	0.50218	-0.058461	0.90416	0	0	0	0	0	0	0	0	0	0	0	0	0.31597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp3cc	0	0	0.49014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.9949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pram1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99617	0	0.99545	0	0	0	0	0	0	0	0	0	0	0	0	0
Prelid2	0.61	0	-0.53824	0	0	0	0	0	0	0	0	0	0	0	0	0.063509	0	0	0	0	0	0	0.91758	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptger2	0	0	0.49023	0	0	0	0	0	0	0.36396	0	0	0	0	0	0.1304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptpn6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40696	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptprm	0	0	0.54163	0	0	0	0	0	0	0	0	0	0.75883	0	0.12359	0	0	0	0	0	0.82565	0	0.92777	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyroxd1	0	0	0	0	0	0	0	0	0	0.092895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1512	0	0	0	0
Qk	0.5493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16756	0	0.6717	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab8b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61745	0	0	0	0	0	0	0	0	0	0	0	0	0
Rabl2	0.78743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rai14	0	0	0	0	0	0	0	0	0	-0.66112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ramp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasa2	0	0	0	0	0	0	0	0	0	0	0	0	0.84967	0	0	0	0	0	0	0	0	0	0.73171	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm24	0	0	0	0	0	0	0	0	0	0	0	0.92544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rgmb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10218	0	0	0	0	0	0	0
Rgs9	0	0	0.86075	0	0	0	0	0	0	0	0	0	0	0	-0.55012	0	0	0	0	0	0	0.15463	0.97445	0	0	0.82859	0	0	0	0	0	0	0	0	0	0
Riok1	0	0	0	0	0	0	0	0.84579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95041	0	0	0	0	0	0	-0.37373	0	0	0
Rn45s	0	0	0.46778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf130	0	0	0	0	0	0	0	0	0	0.24631	0	0	-0.64854	0	0.31934	0	0	0	-0.15865	-0.49894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.35347	0
Rora	0	0	0	0	0	0	0	0	0	0.78445	0	0	0.83398	0	0	0	0	0	0.3838	0	0.61293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl13a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.48571	-0.88052	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl18	0	0	0	0	0	0	0	0	0	0.68573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl36a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.33478	0	0	0	0	0	0
Rpl7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.57431	0	0
Rps26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.6534	0	0.83733	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps3a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.21401	0	0	0	0	0	0
Rsad2	0	0	0	0	0	0	0	0	0	0.86597	0	0	0	0	0	0	0	0	0	-0.79321	0.02574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ryk	0	0	0	0	0	0	0	0	0	0	0	0.95737	0	0	0	0	0	0	0	0	0.92431	0	0.94654	0	0	0	0	0	0	0	0	0	0	0	0	0
S100a11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.56983	0	0	0	0	0	0	0
Sacm1l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.031879	0	0	0	0	0	0	0	0	0	0	0	-0.321	0	0	0	0	0	0	0	0	0
Samd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scg5	0	0	0.93691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scimp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.9058	0	0	0	0	0	0	0	0	0	0	0	0
Scrt1	0.18637	0	0.93967	0	0	0	0	0	0	0	0	0	0.93306	0	0	0	0	0	0	0	0	0	-0.02574	0	0	0	0	0	0	0	0	0	0	0	0	0
Sel1l3	0	0	0	0	0	0	0	0	0	0	0	0.95592	0	0	0	0	0	0	0	0	0.54163	0	0.93565	0	0	0	0	0	0	0	0	0	0	0	0	0
Sept5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.75106	0.9634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpina3f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.89854	0	0	0	0	0	0	-0.66368	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpine2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58621	-0.67451	0	0	0	0.83727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sgtb	0	0	0.68101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63414	0.61128	0	0	0.93838	0	0	0	0	0	0	0
Slain1	0	0	0	0	0	0	0	0	0	-0.74543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc16a10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.52038	-0.64352	0	0	0	0	0	0	0	0.84815	0	0	0	0	0	0	0	0	0	0	0	0
Slc35e2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc37a4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75746	0	0	0
Slc38a1	0	0	-0.76267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59606	0	0	0.99299	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc41a3	0.84098	0	0	0	0	0	0	0	0	0.81441	0	0	0	0	0	0	0	0	0	0	0.75224	0	0.944	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc6a13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.30941	0	0	0.94246	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc6a7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83987	0	0	0	0	0	0	0	-0.92777	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc7a1	0	0	0	0	0	0.58024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smpdl3a	0	0	0	0	0	0	0	0	0	0.67583	0	0	0	0	0	0	0	0	0	-0.38286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sorl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.79816	0	0	0	0	0	0	0
Specc1	0	0	0	0	0	0	0	0	0	0.62186	0	0	0	0	0	0	0	0	0.96102	-0.55265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spon1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27169	0	0	0	0
Spred2	0	0	0.91248	0	0	0	0	0	0	-0.85249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Src	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90416	0	0	0	0	0	0	0	0	0	0	0	0	0
Srsf5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59878	0	0	0	0	0	0	0
St14	-0.76941	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11309	0	0	0	0	0	0	0	-0.50457	0	0	0	0	-0.24526	0	0	0	0	0	0	0	0
St3gal3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91342	0	0	0	0	0	0	0	0.95838	0	0	0	0	0	0	0	0	0	0	0	0	0
Stat3	0	0	0	0	0	0	0	0	0	0	0.83269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stx1a	0	0	0.90215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95592	0	0	0	0	0	0	0	0	0	0	0	0	0
Susd2	0	0	0.84635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57745	0	0	0	0	0	0	0	-0.78702	0	0	0	0	0	0	0	0	0
Susd3	0	0	0	0	-0.72879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.73926	0	0	0	0	0
Tbc1d10a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49302	0.64462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tdrd9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92901	0	0	0	0	0	0	0	-0.89302	0	0	0	0	0	0	0	0	0	0	0	0	0
Tex2	0	0	-0.30271	0	0	0	0	0.80232	0	0.49813	0	0	0	0	-0.27953	0	0	0	0	0	0	0	0.75883	0	0	0	0	0	0	0	0	0	0	0	0	0
Tg	0	0.085416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087208	0	0	0	0	0	0	0	0	0	0	0	0	0
