	Bcl6	Bhlhe40	Crem	Dot1l	Epas1	Foxo1	Hivep1	Ikzf3	Irf1	Jun	Junb	Jund	Kdm2b	Klf13	Klf2	Klf6	Lin54	Mlxip	Nfat5	Nfkb1	Nfkb2	Nr3c1	Nr4a2	Purb	Rora	Skil	Stat3	Stat5a	Zbtb21	Zfp131
Sf1	0	0	0	0.67117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sidt2	0	0	0	0	0	0	0	0	0	0	0.93306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ski	0	0	0	0	0	0	0.046931	0	0	0	0	0	0.33646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc15a3	0	0	0	0	0	0	0	0	0.16465	-0.14668	0.40146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4749	0	0
Slc16a10	0	0	0	0	0	0	0	0	0	-0.52038	-0.64352	0	0.095668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc35b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84028	0	0	0	0	0
Slc35e1	0	0	0	0	0	0	0	0	0	0	0	0	0.28883	0	0	0	0	0	0	0	0	0	0	0.28007	0	0	0.82139	0	0	0
Slc38a1	-0.76267	0	0	0	0	0	0.79037	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59606	0	0	0	0.99299	0	0	0	0	0
Slc7a1	0	0	0	0.58024	0	0	0	0	0	0	0	0	0.63454	0	0	0	0	0	0	0	0	0	0.049922	0	0	0	0	0	0	0
Slfn2	0	0	0	0	0	0	0	0	0	0	0	-0.076784	0	0	0	0	0	0.34327	0	0	0	0	0	0	0	0	0	0	0	-0.23817
Spry2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99243	0	0	0.82502	0	0	0	0
Spty2d1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99299	0	0	0	0	0	0	0
Ssh2	0.89339	0	0	0	0	0	0	0	0	0	-0.31597	0	0	0.033811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stat3	0	0	0	0	0	0.83269	0	0	0	0	0	0	0.52194	0.20072	0	0	0	0	0	0	0	0	0.8735	0	0	0	0	0.40591	0	0
Stat5a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027096	0	0.71999	0	0	0
Suco	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37135	0	0.24419	0	0	0	0
Syncrip	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.32015	0	0	0	0	0	0	0	0	0.55975	0	0	0	0	0	0
Sytl3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39283	0	0	0	0	0	0	0
Taf4b	0	0	0.91342	0	0	0	0	0	0	0.77504	0	0	0.5258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tex2	-0.30271	0	0	0	0.80232	0	0	0	0	-0.27953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75883	0	0	0	0	0
Tfip11	0	0	0	0	0	0	0	0	0.4012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgm2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98665	0.7862	0	0	0	0	0	0	0	0	0
Tle3	0	0	0	0	0	0	0	0	0.24526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1541	0	0	0	0	0
Tnfrsf1a	0	0	0	0	0	0	0	0	0	-0.87588	0	0	0	0	0.37655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnfrsf1b	0	0.86719	0.73978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnfrsf9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026691	0	0	0	0	0	0	0	0	0	0	0	0	0
Tpm4	0	0	0	0	0	0.94522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46645
Traf4	0	0	0.9634	0	0	0	0	0	0	0	0	0	0.81828	0	0	0	0	0	0	0	0	0	0.29749	0	0	0	0	0	0	0
Trf	0	0	0	0	0	0	0	0	0	0	0	0	0.80189	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4749	0	0	0
Tuba4a	0	0	0	0	0	0	0	0.87273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Txnrd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89854	0	0	0	0	0	-0.84579	0.89618	0	0	0	0	0	0.96619	0	0	0
Ubl3	0	0.083219	0	0	0.6406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87273	0	0	0	0
Ugcg	0	0	0	0	0.78135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89433	0	0	0	0	0	0	0
Ulk1	0	0	0	0	0	0	0	0	0	0	0	0	0.3167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Use1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.52266	0	0	0	0	0	0
Usp12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97217	0	-0.41061	0	0	0	0	0
Usp34	0	0	0	0	0	0	0	0	-0.89854	0	0	0	0	0	0	0	0	0	0.80686	0	0	0	0	0	0	0	0	0	0	0
Usp36	0	0	0	0.99677	0	0	0	0	0	0	0	0	0.20561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.73892	0	0.26592	0	0	0	0	0
Usp9x	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72585	0	0.82396	0	0	0	0	0	0	0.79466	0	0	0	0
Vamp2	0	0.68969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb21	0	0	0	0	0	0	0	0	0	0	0.9522	0	0	0	0	0	0	0	0	0.95347	0	0	0	0	0.7701	0	0	0	0	0
Zcchc11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053755	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.45793	-0.45034	0	0	0	0	0	0	0	0	0	0.36549	0
Zswim4	0.10435	0	0	0.1304	0	0	0.84434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
